ticker,auc_test,auc_train,acc_test,acc_train
TER,0.4737477651199581,0.5458594209102055,0.5458594209102055,0.5818181818181818
AGCO,0.5364123522370192,0.5916869909677327,0.5916869909677327,0.5446808510638298
PYPL,0.4614624505928854,0.6428484741833892,0.6428484741833892,0.6118945432250154
CCK,0.4604270123165839,0.6298793679655866,0.6298793679655866,0.5961315280464217
TXRH,0.469234022556391,0.5817867540029112,0.5817867540029112,0.57678916827853
SYF,0.5262785545398693,0.6010094252846101,0.6010094252846101,0.5684669939989089
KR,0.554333666143679,0.5907645328538194,0.5907645328538194,0.5148936170212766
EPD,0.5451204115033903,0.5990101321380212,0.5990101321380212,0.5485493230174081
JCI,0.506689589911274,0.5894569102760506,0.5894569102760506,0.5644100580270793
SMPL,0.565579272385555,0.6450363993658025,0.6450363993658025,0.556203164029975
DNB,0.5728506787330316,0.720424189957952,0.720424189957952,0.5464098073555166
LYB,0.5659725145706455,0.6028804514159161,0.6028804514159161,0.5562862669245648
PAYC,0.5115040175569007,0.6181571740110946,0.6181571740110946,0.6162046908315565
CMI,0.5538324671068033,0.5813971268110336,0.5813971268110336,0.5485493230174081
HPE,0.49800482907612154,0.5909428580904056,0.5909428580904056,0.578005115089514
EXLS,0.5285177595628415,0.5957122337558025,0.5957122337558025,0.5787234042553191
AEE,0.6196048134101231,0.5151314271838766,0.5151314271838766,0.5589941972920697
MPWR,0.6526051534672225,0.5704539530284544,0.5704539530284544,0.5818181818181818
TPR,0.49042394855329546,0.5561096442001459,0.5561096442001459,0.5705996131528046
ET,0.5782062940012936,0.6188987966201308,0.6188987966201308,0.5760154738878143
WSO,0.39218033956877774,0.5445990524105389,0.5445990524105389,0.5292069632495164
WEX,0.5405225946431245,0.558221763380821,0.558221763380821,0.5547388781431335
UHS,0.44106583072100314,0.6083942128893642,0.6083942128893642,0.5663442940038684
FTV,0.38293521702760475,0.6059233594924027,0.6059233594924027,0.5225352112676056
GIS,0.4262562673052458,0.5977127634731937,0.5977127634731937,0.5485493230174081
ACI,0.5467306325515281,0.6957317519584156,0.6957317519584156,0.6539130434782608
FE,0.42849393984737394,0.553001377009337,0.553001377009337,0.548936170212766
SJM,0.5218047933961821,0.5715194605397479,0.5715194605397479,0.5148936170212766
NDAQ,0.4687125748502994,0.5756960612823452,0.5756960612823452,0.5586073500967118
SCHW,0.5335560393363861,0.5727965392333532,0.5727965392333532,0.579110251450677
KHC,0.5241586370618628,0.6138938284754881,0.6138938284754881,0.5763335377069283
UAL,0.5133359574149048,0.5971085460487482,0.5971085460487482,0.5508704061895551
EBAY,0.6090698615568502,0.5618809771603004,0.5618809771603004,0.525725338491296
BERY,0.6080946926307751,0.5879036866509927,0.5879036866509927,0.5383574007220217
MCHP,0.5888207193705508,0.5873886328725038,0.5873886328725038,0.5736943907156673
AVY,0.563089181505312,0.5814820819019377,0.5814820819019377,0.5725338491295938
CMS,0.47491192634693974,0.6068414581197392,0.6068414581197392,0.5624758220502901
RMD,0.5070125374251497,0.5880071526143574,0.5880071526143574,0.5833655705996131
KMB,0.5161990381821079,0.5729694132214284,0.5729694132214284,0.5388781431334623
ADI,0.5592695890616783,0.5710667738837464,0.5710667738837464,0.532688588007737
WEN,0.5289094650205761,0.5864669087464858,0.5864669087464858,0.5485493230174081
CHH,0.4178196888477262,0.5941847564004481,0.5941847564004481,0.5582205029013539
PAYX,0.6167710200978137,0.5931310793390366,0.5931310793390366,0.5694390715667311
ROK,0.5449875918902468,0.5860593820742348,0.5860593820742348,0.5547388781431335
TGT,0.47527359617682197,0.5793716003005258,0.5793716003005258,0.5597678916827853
AVTR,0.4592737066963871,0.7177103260903431,0.7177103260903431,0.5810473815461347
ADP,0.5603489759778257,0.5890402129900469,0.5890402129900469,0.574468085106383
AXTA,0.6660573734468017,0.6300930137214457,0.6300930137214457,0.5534804753820034
ED,0.5740724962843051,0.5869943802989234,0.5869943802989234,0.5667311411992263
ALLE,0.5382367149758454,0.5771585213032582,0.5771585213032582,0.5863291139240506
CPB,0.46374411794972537,0.5553855219220001,0.5553855219220001,0.5369439071566731
CSGP,0.5397500188522735,0.6090213843384887,0.6090213843384887,0.5686653771760155
